id,latitude,longitude,area_name,crime_type,severity,hour,day_of_week,month,crime_count
1,17.363991775374675,78.48149934537662,Mehdipatnam,murder,1.0,3,2,10,3
2,17.41004135312093,78.43150138283781,Banjara Hills,robbery,0.7,8,1,3,3
3,17.44558178356138,78.44137850443987,Ameerpet,murder,1.0,9,4,10,3
4,17.448539514498226,78.38749400256047,Madhapur,theft,0.4,0,4,10,5
5,17.495333663862944,78.3911197210949,Kukatpally,theft,0.4,13,0,4,2
6,17.454500997648292,78.40027249241048,Madhapur,theft,0.4,17,1,4,1
7,17.496059323929135,78.40347148826109,Kukatpally,harassment,0.5,10,4,12,5
8,17.391852930948563,78.48201123201956,Charminar,vandalism,0.3,8,0,3,3
9,17.38852337989415,78.48727957652879,Charminar,harassment,0.5,2,3,1,1
10,17.4519119050217,78.38178501789544,Madhapur,assault,0.6,8,6,10,2
11,17.36882868979711,78.43600829042734,Somajiguda,theft,0.4,7,2,2,3
12,17.356843377328953,78.48017589265608,Mehdipatnam,murder,1.0,8,5,5,1
13,17.35069704731299,78.47275426875127,Mehdipatnam,theft,0.4,15,2,8,2
14,17.455391377304057,78.39490607281827,Madhapur,murder,1.0,13,3,12,5
15,17.370739842448113,78.4830711519491,Secunderabad,murder,1.0,9,4,2,2
16,17.378290897462318,78.48541578081122,Secunderabad,vandalism,0.3,1,1,11,2
17,17.421323881435292,78.42560128020129,Banjara Hills,robbery,0.7,1,6,12,3
18,17.433586767708523,78.43922424337326,Ameerpet,robbery,0.7,19,0,5,3
19,17.420428110771176,78.42745958822172,Banjara Hills,murder,1.0,16,6,2,4
20,17.37520474312247,78.483230810087,Secunderabad,murder,1.0,2,1,11,4
21,17.37799551019576,78.44212628975014,Somajiguda,assault,0.6,15,2,8,3
22,17.418050486632566,78.44361837768422,Banjara Hills,theft,0.4,7,0,9,4
23,17.450441198554074,78.36955597883642,Gachibowli,vandalism,0.3,16,3,9,2
24,17.360686646332084,78.46633057165148,Mehdipatnam,vandalism,0.3,16,3,7,2
25,17.366914253407916,78.47178629997885,Secunderabad,robbery,0.7,19,2,7,3
26,17.378134903072002,78.49654601849622,Charminar,assault,0.6,12,0,1,2
27,17.380511922611,78.4449252941001,Somajiguda,assault,0.6,21,4,12,2
28,17.451095310433967,78.39709695110912,Madhapur,robbery,0.7,6,1,8,5
29,17.492435130644836,78.40786685765114,Kondapur,robbery,0.7,16,0,9,2
30,17.38934254370569,78.49021419390012,Charminar,theft,0.4,9,4,2,2
31,17.430812181348912,78.44284563686668,Ameerpet,theft,0.4,20,5,12,3
32,17.44741981863695,78.44595935009771,Ameerpet,harassment,0.5,4,5,6,1
33,17.43655771342776,78.45286941323695,Ameerpet,harassment,0.5,6,2,12,2
34,17.36576917384756,78.4722146393216,Mehdipatnam,vandalism,0.3,0,2,1,4
35,17.412309440146508,78.42846875837992,Banjara Hills,harassment,0.5,14,4,12,3
36,17.477198423679873,78.41921581162325,Kondapur,vandalism,0.3,13,6,1,5
37,17.37362863222406,78.44370858460918,Somajiguda,vandalism,0.3,15,4,7,1
38,17.366410526323588,78.46672711856291,Mehdipatnam,robbery,0.7,21,0,7,3
39,17.417846182280734,78.4380627458847,Banjara Hills,murder,1.0,22,0,3,1
40,17.385881726048602,78.4797313821304,Charminar,vandalism,0.3,10,3,2,2
41,17.41644094346711,78.4306494509998,Banjara Hills,assault,0.6,18,1,6,1
42,17.445738716118548,78.39049484500697,Madhapur,theft,0.4,3,5,1,3
43,17.44632956170074,78.3911434190029,Madhapur,theft,0.4,23,5,11,5
44,17.356174287700902,78.47887498313453,Mehdipatnam,robbery,0.7,22,0,5,1
45,17.416101821847413,78.42767624298756,Banjara Hills,vandalism,0.3,10,4,3,4
46,17.47981127080428,78.41634397938815,Kondapur,murder,1.0,5,0,6,3
47,17.482857454875187,78.40429933138304,Kondapur,robbery,0.7,4,1,5,5
48,17.49568287801653,78.39077050650765,Kukatpally,harassment,0.5,11,4,6,5
49,17.356808153519772,78.47013694693436,Mehdipatnam,vandalism,0.3,7,5,5,3
50,17.369622442201557,78.43898591041503,Somajiguda,theft,0.4,9,0,10,5
51,17.497098036402082,78.39242567757,Kukatpally,robbery,0.7,5,0,1,4
52,17.446391564787987,78.44432258298626,Ameerpet,assault,0.6,23,2,3,1
53,17.45135800968654,78.4011457107471,Madhapur,murder,1.0,16,3,3,2
54,17.439121324401434,78.45080942631415,Ameerpet,murder,1.0,5,4,2,1
55,17.405279844772867,78.42853642529842,Banjara Hills,theft,0.4,6,4,3,4
56,17.383031176055077,78.47949923780722,Charminar,assault,0.6,3,2,1,3
57,17.440352335545654,78.3716647029861,Gachibowli,theft,0.4,10,0,9,5
58,17.43457350210035,78.37593274708767,Gachibowli,assault,0.6,3,5,2,4
59,17.49428770622315,78.42324017761904,Kondapur,theft,0.4,15,5,10,3
60,17.361441162620757,78.48377822857724,Secunderabad,theft,0.4,19,2,8,5
61,17.390192422865443,78.48796966021466,Charminar,vandalism,0.3,3,5,11,5
62,17.475879830754632,78.41382046059886,Kondapur,assault,0.6,19,3,12,3
63,17.35485856282436,78.47053780125508,Mehdipatnam,harassment,0.5,9,4,11,2
64,17.379503384187625,78.48487707906482,Charminar,murder,1.0,11,5,1,1
65,17.354413210787484,78.46536357020747,Mehdipatnam,theft,0.4,22,4,6,5
66,17.48634838278393,78.4198039845196,Kondapur,vandalism,0.3,10,6,1,1
67,17.441671866924896,78.37265684105304,Gachibowli,vandalism,0.3,7,2,4,4
68,17.439578015110484,78.36781253511315,Gachibowli,theft,0.4,21,1,11,4
69,17.380726559522753,78.47671719945505,Secunderabad,murder,1.0,14,1,8,5
70,17.417029507063592,78.42902430844777,Banjara Hills,vandalism,0.3,3,5,3,3
